Membership No  Date Joined  Active  
    25805      2017-1-3     no    
    80222      2020-11-19   no    
    71593      2017-4-11    no    
    25930      2015-2-10    no    
    57639      2015-5-10    no    
    84094      2017-3-4     no    
    79038      2017-2-5     no    
    46598      2018-12-23   no    
    83874      2017-9-5     no    
    30199      2015-10-4    no    
    11449      2020-9-13    no    
    20402      2016-3-17    no    
    55496      2015-3-14    no    
    20648      2017-10-9    no    
    84758      2018-11-6    no    
