Membership No  Date Joined  Active  
    93712      2015-2-9     no    
    13422      2015-1-22    yes   
    60712      2020-10-19   no    
    24099      2016-12-12   no    
    40808      2019-12-24   no    
    80854      2017-3-4     yes   
    88964      2016-3-12    no    
    87828      2018-4-12    yes   
    63867      2015-3-17    yes   
    24024      2016-3-12    no    
    86660      2018-1-24    no    
    49585      2017-7-12    yes   
    52047      2015-9-25    yes   
    26728      2016-6-3     yes   
    54470      2018-2-7     yes   
    66881      2017-10-2    yes   
    56148      2016-11-4    no    
    11034      2020-5-20    yes   
    76488      2018-6-4     no    
    17516      2018-2-17    yes   
