Membership No  Date Joined  Active  
    50389      2015-4-3     no    
    64722      2017-6-11    no    
    21567      2016-5-18    no    
    61844      2020-2-11    no    
    49136      2018-9-13    no    
    88481      2017-3-2     no    
    81046      2020-6-21    no    
    75033      2018-7-11    no    
    77041      2019-12-3    no    
    75957      2017-9-19    no    
    46952      2019-10-12   no    
    80399      2019-1-18    no    
    26199      2019-2-10    no    
    94528      2018-6-4     no    
    58108      2020-1-9     no    
    86050      2018-6-11    no    
